Date;Town;Articlegroup;CustomerName;CustomerNo;Article;UnitPrice;Quantity;Amount;intArticleRow;intCustomerRow
2012-08-15;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2012-04-12;Berlin;Software;LCD Consulting;10001;Office Suite;789;1;789;8;2
2012-09-07;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2012-06-21;New York;Shipping;Amce Ldt.;10004;Shipping Express;11,99;1;11,99;10;5
2012-01-18;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2010-08-26;Kairo;Software;Inter Trade Inc.;10006;Office Suite;789;1;789;8;7
2010-02-18;London;Software;HAL Inc.;10002;WebServer;99,99;1;99,99;12;3
2011-01-28;Kairo;Software;Inter Trade Inc.;10006;Office Suite;789;1;789;8;7
2011-05-10;Rom;Software;Taders Ldt.;10008;Server Operating System ;329;1;329;6;9
2010-06-19;Kairo;Software;Inter Trade Inc.;10006;Server Operating System ;329;1;329;6;7
2013-11-24;New York;Shipping;Amce Ldt.;10004;Shipping Express;11,99;1;11,99;10;5
2012-02-27;Kairo;Software;Inter Trade Inc.;10006;WebServer;99,99;1;99,99;12;7
2011-05-23;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2011-07-29;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2011-06-28;Rom;Shipping;Taders Ldt.;10008;Shipping Express;11,99;1;11,99;10;9
2012-03-29;Tokio;Software;Dr. Foo;10003;PC Operating System;89;1;89;7;4
2011-03-12;Dublin;Software;Billing Service Co.;10005;Server Operating System ;329;1;329;6;6
2012-07-18;London;Software;HAL Inc.;10002;Server Operating System ;329;1;329;6;3
2012-09-02;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2012-02-05;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2011-10-11;Rom;Software;Taders Ldt.;10008;Office Suite;789;1;789;8;9
2012-06-13;Dublin;Hardware;Billing Service Co.;10005;Desktop CPU 8 Core;249;1;249;5;6
2011-01-14;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2012-04-27;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2010-11-10;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2011-05-11;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2011-10-14;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2011-07-18;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2013-04-20;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2011-03-12;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2012-03-02;Tokio;Hardware;Dr. Foo;10003;Server CPU 16 Cores;649;1;649;4;4
2010-08-02;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2012-05-01;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2013-02-16;Tokio;Shipping;Dr. Foo;10003;Shipping Normal;7,99;1;7,99;9;4
2012-07-08;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2011-03-28;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2013-10-10;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2011-07-19;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2013-07-02;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2011-01-04;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2012-11-06;Kairo;Software;Inter Trade Inc.;10006;Office Suite;789;1;789;8;7
2013-11-23;London;Software;HAL Inc.;10002;PC Operating System;89;1;89;7;3
2012-09-06;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2010-07-09;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2012-08-20;Paris;Software;Webstores Co.;10007;Office Suite;789;1;789;8;8
2010-10-13;Dublin;Hardware;Billing Service Co.;10005;Desktop CPU 8 Core;249;1;249;5;6
2010-10-23;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2011-03-27;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2011-06-26;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2010-01-20;Rom;Shipping;Taders Ldt.;10008;Shipping Normal;7,99;1;7,99;9;9
2010-11-30;London;Shipping;HAL Inc.;10002;Shipping until 12h;19,99;1;19,99;11;3
2012-04-01;Tokio;Hardware;Dr. Foo;10003;Desktop CPU 8 Core;249;1;249;5;4
2011-03-30;London;Hardware;HAL Inc.;10002;Desktop CPU 8 Core;249;1;249;5;3
2012-01-10;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2011-02-25;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2011-10-21;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2011-04-01;Tokio;Shipping;Dr. Foo;10003;Shipping Express;11,99;1;11,99;10;4
2011-08-11;Dublin;Hardware;Billing Service Co.;10005;PC Mouse USB;9,99;1;9,99;2;6
2012-07-03;Paris;Software;Webstores Co.;10007;Office Suite;789;1;789;8;8
2013-04-02;Tokio;Hardware;Dr. Foo;10003;Tablet PC No. 1;499;1;499;3;4
2012-06-06;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2010-02-17;Rom;Hardware;Taders Ldt.;10008;Tablet PC No. 1;499;1;499;3;9
2012-11-13;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2011-09-08;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2012-10-25;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2012-04-21;Berlin;Software;LCD Consulting;10001;WebServer;99,99;1;99,99;12;2
2010-02-09;Tokio;Software;Dr. Foo;10003;PC Operating System;89;1;89;7;4
2012-10-20;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2013-09-22;Berlin;Hardware;LCD Consulting;10001;Server CPU 16 Cores;649;1;649;4;2
2013-11-26;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2012-09-01;Dublin;Software;Billing Service Co.;10005;Server Operating System ;329;1;329;6;6
2010-03-09;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2012-11-25;Tokio;Hardware;Dr. Foo;10003;Desktop CPU 8 Core;249;1;249;5;4
2011-04-29;Tokio;Shipping;Dr. Foo;10003;Shipping until 12h;19,99;1;19,99;11;4
2011-09-06;New York;Software;Amce Ldt.;10004;Office Suite;789;1;789;8;5
2011-09-12;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2010-10-12;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2011-04-27;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2012-03-07;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2011-10-07;New York;Hardware;Amce Ldt.;10004;Tablet PC No. 1;499;1;499;3;5
2010-06-16;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2011-12-19;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2011-12-26;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2010-11-14;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2011-02-28;London;Shipping;HAL Inc.;10002;Shipping until 12h;19,99;1;19,99;11;3
2011-11-05;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2012-05-14;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2011-05-14;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2012-07-03;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2013-06-16;New York;Hardware;Amce Ldt.;10004;PC Mouse USB;9,99;1;9,99;2;5
2011-12-23;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2012-07-26;Paris;Hardware;Webstores Co.;10007;PC Mouse USB;9,99;1;9,99;2;8
2011-11-09;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2011-05-18;Tokio;Hardware;Dr. Foo;10003;Desktop CPU 8 Core;249;1;249;5;4
2011-01-19;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2012-03-06;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2012-06-02;New York;Shipping;Amce Ldt.;10004;Shipping until 12h;19,99;1;19,99;11;5
2011-01-29;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2011-03-22;Kairo;Hardware;Inter Trade Inc.;10006;PC Mouse USB;9,99;1;9,99;2;7
2011-01-24;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2012-04-26;Paris;Software;Webstores Co.;10007;Office Suite;789;1;789;8;8
2012-04-07;Tokio;Software;Dr. Foo;10003;PC Operating System;89;1;89;7;4
2013-07-21;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2012-11-29;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2013-07-27;Paris;Hardware;Webstores Co.;10007;PC Mouse USB;9,99;1;9,99;2;8
2012-11-21;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2011-08-09;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2012-05-09;Rom;Software;Taders Ldt.;10008;PC Operating System;89;1;89;7;9
2012-07-06;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2012-03-17;Kairo;Hardware;Inter Trade Inc.;10006;PC Mouse USB;9,99;1;9,99;2;7
2013-09-24;Kairo;Hardware;Inter Trade Inc.;10006;PC Mouse USB;9,99;1;9,99;2;7
2012-01-07;New York;Hardware;Amce Ldt.;10004;PC Mouse USB;9,99;1;9,99;2;5
2010-06-28;Dublin;Software;Billing Service Co.;10005;PC Operating System;89;1;89;7;6
2012-07-08;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2013-03-14;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2012-03-08;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2011-02-01;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2010-01-02;Dublin;Hardware;Billing Service Co.;10005;Tablet PC No. 1;499;1;499;3;6
2011-03-22;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2011-04-14;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Express;11,99;1;11,99;10;7
2011-12-23;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2012-11-10;New York;Software;Amce Ldt.;10004;WebServer;99,99;1;99,99;12;5
2010-11-25;Kairo;Software;Inter Trade Inc.;10006;Server Operating System ;329;1;329;6;7
2011-03-28;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2010-08-16;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2011-05-29;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2013-11-28;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2012-07-23;Tokio;Shipping;Dr. Foo;10003;Shipping Express;11,99;1;11,99;10;4
2012-06-28;London;Shipping;HAL Inc.;10002;Shipping until 12h;19,99;1;19,99;11;3
2012-10-05;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2010-01-19;Rom;Shipping;Taders Ldt.;10008;Shipping Normal;7,99;1;7,99;9;9
2010-10-17;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2011-09-13;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2010-03-10;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2010-11-22;Tokio;Shipping;Dr. Foo;10003;Shipping Express;11,99;1;11,99;10;4
2011-12-20;Berlin;Shipping;LCD Consulting;10001;Shipping until 12h;19,99;1;19,99;11;2
2012-09-25;London;Software;HAL Inc.;10002;Server Operating System ;329;1;329;6;3
2013-10-07;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2012-06-03;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Normal;7,99;1;7,99;9;7
2010-08-20;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2010-05-28;New York;Software;Amce Ldt.;10004;WebServer;99,99;1;99,99;12;5
2010-08-13;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2012-01-30;Rom;Software;Taders Ldt.;10008;Office Suite;789;1;789;8;9
2010-09-06;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2010-10-23;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2012-09-04;Paris;Software;Webstores Co.;10007;WebServer;99,99;1;99,99;12;8
2012-03-29;Berlin;Hardware;LCD Consulting;10001;Server CPU 16 Cores;649;1;649;4;2
2010-08-04;Rom;Software;Taders Ldt.;10008;Office Suite;789;1;789;8;9
2011-05-30;Dublin;Hardware;Billing Service Co.;10005;Tablet PC No. 1;499;1;499;3;6
2012-09-27;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2010-02-27;London;Software;HAL Inc.;10002;WebServer;99,99;1;99,99;12;3
2012-12-17;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2011-09-24;Kairo;Software;Inter Trade Inc.;10006;Server Operating System ;329;1;329;6;7
